Claim Number,Exposure ID,Assignment #,Event Type,Timestamp,Activity Notes,Assigned To Adjuster,Reason for Reassignment,Manual/System Trigger,Assigned By,Complexity
CLM-00001,CLM-00001-EXP01,1,Assigned,05/20/2024 01:00 AM,New claim received. Assignment Engine routed to Marcus Thompson in Columbus Property Team 3. Action: Supplement inspection requested by field appraiser.,,,System,Assignment Engine (Auto-Route),Low
CLM-00001,CLM-00001-EXP02,2,Reassigned,05/20/2024 11:00 AM,Assigned to James Kowalski in West Zone Operations Illinois Team 4. Flag: Litigation hold applied; outside counsel notified.,,,System,Assignment Engine (Auto-Route),Low
CLM-00002,CLM-00002-EXP01,1,Assigned,08/17/2024 04:00 AM,Initial FNOL intake complete. Claim routed to Patricia Chen (Cleveland Workers Comp Team 1) based on loss location and LOB eligibility. Action: Exposure closed; partial payment issued.,,,System,Assignment Engine (Auto-Route),Medium
CLM-00002,CLM-00002-EXP01,2,Referred,08/19/2024 07:00 AM,Manually referred to Anita Patel in West Zone Operations Ohio Team 3. Action: Supplement inspection requested by field appraiser.,,,Manual,Supervisor - Team Lead,Medium
CLM-00002,CLM-00002-EXP01,3,Escalated,08/19/2024 01:00 PM,Supervisor review required. Escalation issued to Rachel Coleman (Senior Adjusters Unit). Action: Loss cause updated from initial FNOL report.,,,Manual,Supervisor - Team Lead,Medium
CLM-00003,CLM-00003-EXP02,1,Assigned,06/21/2024 04:00 AM,Claim created and assigned to Christopher Adams in group Subrogation Recovery Unit. Action: Total loss determination initiated; market value assessed.,,,System,Assignment Engine (Auto-Route),Low
CLM-00003,CLM-00003-EXP02,2,Referred,06/21/2024 08:00 AM,Manually referred to Rachel Coleman in Senior Adjusters Unit. Action: CAT team engaged due to widespread weather event in region.,,,Manual,Supervisor - Team Lead,Low
CLM-00003,CLM-00003-EXP02,3,Reassigned,06/23/2024 04:00 PM,Assigned to David O'Brien in ISS Special Investigations Unit. Flag: Litigation hold applied; outside counsel notified.,,,Manual,Claims Manager,Low
CLM-00004,CLM-00004-EXP01,1,Assigned,02/05/2024 03:00 AM,Claim created and assigned to Patricia Chen in group Cleveland Workers Comp Team 1. Flag: Adjuster OOO - claim reassigned to maintain contact SLA.,,,System,Assignment Engine (Auto-Route),Low
CLM-00004,CLM-00004-EXP01,2,Reassigned,02/06/2024 04:00 AM,Reassigned from prior adjuster to James Kowalski in West Zone Operations Illinois Team 4. Flag: Litigation hold applied; outside counsel notified.,,,Manual,Rachel Coleman,Low
CLM-00005,CLM-00005-EXP01,1,Assigned,04/17/2024 01:00 AM,New claim received. Assignment Engine routed to Patricia Chen in Cleveland Workers Comp Team 1. Action: CAT team engaged due to widespread weather event in region.,,,System,Assignment Engine (Auto-Route),Medium
CLM-00005,CLM-00005-EXP02,2,Referred,04/19/2024 11:00 AM,Manually referred to Robert Harrington in Pittsburgh Property Team 2. Action: Independent Medical Examination (IME) ordered.,,,Manual,Rachel Coleman,Medium
